objectid,año,tmean_weighted,precipitation_weighted,cld_weighted,frs_weighted,vap_weighted,wet_weighted,income1,income2,income3,income4,income5,GDPpc,deathr,CO2,lnGDPpc,lnCO2,PI0,PI1,PI2,pm25,region_wb,pm25_nmeses_1_le5,pm25_nmeses_2_5to10,pm25_nmeses_3_10to15,pm25_nmeses_4_15to25,pm25_nmeses_5_25to35,pm25_nmeses_6_gt35,pm25_mean,iso3,_m_iso,wind_nmeses_1_0to90,wind_nmeses_2_90to180,wind_nmeses_3_180to270,wind_nmeses_4_270to360,n_stag,wind_spd_mean,p_stag,wdirty,p_wdirty,regWB,regWB_1,regWB_2,regWB_3,regWB_4,regWB_5,regWB_6,regWB_7,regWB_8,i_reg1_bin1,i_reg1_bin2,i_reg1_bin3,i_reg1_bin4,i_reg2_bin1,i_reg2_bin2,i_reg2_bin3,i_reg2_bin4,i_reg3_bin1,i_reg3_bin2,i_reg3_bin3,i_reg3_bin4,i_reg4_bin1,i_reg4_bin2,i_reg4_bin3,i_reg4_bin4,i_reg5_bin1,i_reg5_bin2,i_reg5_bin3,i_reg5_bin4,i_reg6_bin1,i_reg6_bin2,i_reg6_bin3,i_reg6_bin4,_m_wind,shift_q1,shift_q2,shift_q3,shift_q4,shift_dirty,z_wind,lnz_wind,_m_shift,lnpm25,lnq1,lnq2,lnq3,lnq4,lnshift_dirty,_m_shift2,lnpm25_10,_est_model2,_est_model1,_est_model3,_est_model4,_est_model5
1,2000,26.462973,2646.118049621582,65.52449,.00020669741,28.229881,13.336004,0,0,0,1,0,1845.227800727029,7.383,294.6399,7.5203581,5.6857538,15.18,14.05,16.18,17.5,East Asia & Pacific,0,4,8,0,0,0,10.638992,IDN,matched (3),1,6,2,3,0,2.127037,0,5,.41666666,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,1,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),29324.424,17105.033,3709.1196,240295.39,244004.5,290433.97,12.579131,matched (3),2.3645258,12.196016,10.355092,9.5445652,13.712439,13.727805,matched (3),24.808743,1,1,1,1,1
1,2001,26.387062,2676.055099487305,65.541237,.00010947678,27.886017,13.411978,0,0,0,1,0,1885.679751376955,7.329,316.0604,7.5420437,5.7559333,15.23,14.26,16.07,18.1,East Asia & Pacific,0,0,10,2,0,0,13.241495,IDN,matched (3),0,8,2,2,0,1.8726829,0,4,.33333334,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),7275.394,21162.393,4578.686,143136.2,147714.89,176152.67,12.079106,matched (3),2.5833554,12.179925,10.362244,9.6039171,13.727802,13.743854,matched (3),27.104717,1,1,1,1,1
1,2002,26.416037,2178.513153076172,64.75943,.00010918507,27.813072,11.851031,0,0,0,1,0,1943.644927906336,7.248,322.8685,7.5723205,5.777245,15.29,14.49,15.96,21.9,East Asia & Pacific,0,0,7,2,2,1,20.931248,IDN,matched (3),0,7,3,2,0,2.1114094,0,5,.41666666,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),19770.953,20105.527,3700.0359,184322.61,188022.64,227899.13,12.336658,matched (3),3.0412431,12.168514,10.371989,9.6236191,13.756768,13.772674,matched (3),31.908901,1,1,1,1,1
1,2003,26.280756,2649.13166809082,65.543816,.000115618,27.671883,12.996949,0,0,0,1,0,2009.489783953994,7.223,352.4141,7.6056361,5.8648071,15.37,14.74,15.88,19.5,East Asia & Pacific,0,0,11,1,0,0,13.680782,IDN,matched (3),0,8,2,2,0,2.0194082,0,4,.33333334,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),13028.167,22225.332,3707.8535,140126.77,143834.61,179088.13,12.095634,matched (3),2.6159921,12.187536,10.346811,9.6615705,13.793571,13.809494,matched (3),27.447142,1,1,1,1,1
1,2004,26.427916,2419.318504333496,65.017418,.00011416992,28.038841,12.476196,0,0,0,1,0,2083.882508978697,7.995,358.6972,7.6419878,5.8824787,15.47,15.01,15.81,21.200001,East Asia & Pacific,0,0,6,5,1,0,18.220682,IDN,matched (3),0,7,3,2,0,2.0983696,0,5,.41666666,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),9570.0322,19152.676,6195.4204,180124.64,186320.06,215042.77,12.278592,matched (3),2.9025574,12.183766,10.380514,9.7090216,13.849358,13.865149,matched (3),30.453802,1,1,1,1,1
1,2005,26.549883,2794.225891113281,65.081406,.00013664574,28.026949,13.743264,0,0,0,1,0,2174.915221489663,7.336,359.8325,7.6847448,5.8856387,15.58,15.29,15.75,21.200001,East Asia & Pacific,0,0,9,3,0,0,15.173638,IDN,matched (3),0,9,2,1,0,2.1381657,0,3,.25,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),10285.116,22342.682,4664.1626,101201.98,105866.14,138493.94,11.838582,matched (3),2.7195597,12.162824,10.360034,9.7142792,13.894966,13.910138,matched (3),28.533779,1,1,1,1,1
1,2006,26.29571,2260.637954711914,65.248222,.00011763073,27.760736,11.71305,0,0,0,1,0,2264.935733309739,7.323,382.1883,7.7253017,5.9459133,15.7,15.58,15.71,26.5,East Asia & Pacific,0,0,4,6,0,2,24.0159,IDN,matched (3),0,8,1,3,0,2.1289425,0,4,.33333334,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),12282.867,19456.82,4534.5078,256876.22,261410.73,293150.41,12.588441,matched (3),3.1787162,12.141459,10.342197,9.7306595,13.931869,13.946734,matched (3),33.351276,1,1,1,1,1
1,2007,26.493803,2596.91690826416,65.387375,.00010921679,28.501225,13.204862,0,0,0,1,0,2377.254992970808,7.314,398.4896,7.7737017,5.9876814,15.83,15.88,15.68,19.5,East Asia & Pacific,0,0,8,4,0,0,14.758324,IDN,matched (3),0,8,2,2,0,2.1713932,0,4,.33333334,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),10390.162,19494.656,5458.6201,193066.77,198525.38,228410.2,12.338899,matched (3),2.6918073,12.142538,10.330523,9.7627754,13.955221,13.970218,matched (3),28.242599,1,1,1,1,1
1,2008,26.38545,2489.297317504883,65.65049,.00026209987,28.103428,12.825632,0,0,0,1,0,2487.611296607031,7.41,393.8964,7.8190784,5.976088,15.98,16.18,15.66,18.9,East Asia & Pacific,0,0,9,3,0,0,13.972589,IDN,matched (3),0,7,3,2,0,1.935033,0,5,.41666666,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),16247.841,19157.816,4736.6528,230016.03,234752.69,270158.34,12.506763,matched (3),2.6370976,12.117834,10.328488,9.8034163,13.970501,13.98588,matched (3),27.668583,1,1,1,1,1
1,2009,26.600256,2348.679767608643,64.965752,.000039735191,28.063513,12.378952,0,0,0,1,0,2569.874212612784,7.386,409.8985,7.8516121,6.0159097,16.120001,16.48,15.66,23.5,East Asia & Pacific,0,0,5,6,0,1,20.749563,IDN,matched (3),0,8,1,3,0,2.0496721,0,4,.33333334,East Asia & Pacific,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,matched (3),12504.139,18934.953,5063.2974,245307.44,250370.73,281809.81,12.548987,matched (3),3.0325253,12.08304,10.328323,9.7827721,13.981534,13.996437,matched (3),31.817434,1,1,1,1,1
