outcome,model,model_label,spec_type,term,term_label,beta,se,ll,ul
PI0,2,Model 2 bins,bins,pm25_nmeses_2_5to10,5–10 µg/m$^3$,.801589952635517,.24185349,.32755709,1.2756228
PI0,2,Model 2 bins,bins,pm25_nmeses_3_10to15,10–15 µg/m$^3$,1.131037279926216,.32016614,.50351161,1.7585629
PI0,2,Model 2 bins,bins,pm25_nmeses_4_15to25,15–25 µg/m$^3$,1.29413557361237,.31644511,.67390317,1.914368
PI0,2,Model 2 bins,bins,pm25_nmeses_5_25to35,25–35 µg/m$^3$,1.105071243173365,.32142422,.47507975,1.7350627
PI0,2,Model 2 bins,bins,pm25_nmeses_6_gt35,$>$35 µg/m$^3$,1.12005755856977,.33732098,.45890844,1.7812066
PI0,1,Model 1 OLS lnpm25_10,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,.3045131280724896,.13827929,.033485711,.57554054
PI0,3,Model 3 IV wind,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,1.801321457001771,.88064098,.075265139,3.5273778
PI0,4,Model 4 IV annual directional ,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,2.632854865196641,.65432316,1.3503815,3.9153283
PI0,5,Model 5 IV monthly wind shift-,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,2.461351567717883,.57984561,1.3248541,3.5978489
PI1,2,Model 2 bins,bins,pm25_nmeses_2_5to10,5–10 µg/m$^3$,.7452967268304567,.1988956,.35546133,1.1351321
PI1,2,Model 2 bins,bins,pm25_nmeses_3_10to15,10–15 µg/m$^3$,1.024788789632372,.28091067,.47420388,1.5753736
PI1,2,Model 2 bins,bins,pm25_nmeses_4_15to25,15–25 µg/m$^3$,1.096898756529401,.27516291,.55757946,1.6362181
PI1,2,Model 2 bins,bins,pm25_nmeses_5_25to35,25–35 µg/m$^3$,.9101898551483941,.28088424,.35965678,1.4607229
PI1,2,Model 2 bins,bins,pm25_nmeses_6_gt35,$>$35 µg/m$^3$,.9528297496605358,.29366484,.37724665,1.5284128
PI1,1,Model 1 OLS lnpm25_10,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,.2353401739676818,.12810817,-.015751833,.48643219
PI1,3,Model 3 IV wind,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,1.558336726999236,.7460534,.096072048,3.0206015
PI1,4,Model 4 IV annual directional ,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,1.880520841874013,.56923717,.76481599,2.9962258
PI1,5,Model 5 IV monthly wind shift-,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,1.736975922948823,.49678409,.76327914,2.7106726
PI2,2,Model 2 bins,bins,pm25_nmeses_2_5to10,5–10 µg/m$^3$,.8678844594418467,.29741615,.2849488,1.4508201
PI2,2,Model 2 bins,bins,pm25_nmeses_3_10to15,10–15 µg/m$^3$,1.243546478172692,.37245339,.51353782,1.9735552
PI2,2,Model 2 bins,bins,pm25_nmeses_4_15to25,15–25 µg/m$^3$,1.489649800418042,.37221038,.76011747,2.219182
PI2,2,Model 2 bins,bins,pm25_nmeses_5_25to35,25–35 µg/m$^3$,1.29947896283405,.37691483,.56072593,2.0382321
PI2,2,Model 2 bins,bins,pm25_nmeses_6_gt35,$>$35 µg/m$^3$,1.287362171926887,.39743832,.50838304,2.0663414
PI2,1,Model 1 OLS lnpm25_10,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,.3696327288917611,.15616538,.063548587,.67571688
PI2,3,Model 3 IV wind,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,2.075244501082802,1.0344334,.0477552,4.1027336
PI2,4,Model 4 IV annual directional ,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,3.330649517659962,.77186215,1.8177997,4.8434992
PI2,5,Model 5 IV monthly wind shift-,lnpm25_10,lnpm25_10,Per 10% increase in PM2.5,3.141053110023931,.68938726,1.789854,4.4922523
