source_model,member_id,scenario,scenario_label,unit_type,unit_id,unit_name,objectid,iso3,country_standard,region_wb,income_grp,income_group3,region_code,region_name,pm25_base_ugm3,pm25_future_ugm3,delta_pm25_ugm3,pm25_obs_2020_ugm3,pm25_proj2050_ugm3,pm25_change_factor,pm25_model_hist_1995_2014_ugm3,pm25_model_present_ugm3,pm25_model_future_ugm3,delta_pm25_hist_future_ugm3,delta_pm25_present_future_ugm3,delta_x,delta_x_naive_hist,delta_pi_pp,delta_pi_prop,delta_pi_pp_ci_low,delta_pi_pp_ci_high,pi_change_pp,pi_reduction_pp,pi_change_pp_ci_low,pi_change_pp_ci_high,PI2020_pct,PI2050_pct,PI2020_prop,PI2050_prop,PI2050_pct_ci_low,PI2050_pct_ci_high,PI2050_prop_ci_low,PI2050_prop_ci_high,PI2050_pct_naive_linear,PI2050_prop_naive_linear,PI0_2020_pct,PI0_2020_prop,PI1_2020_pct,PI1_2020_prop,PI2_2020_pct,PI2_2020_prop,delta_pi_pp_PI0,delta_pi_pp_ci_low_PI0,delta_pi_pp_ci_high_PI0,delta_pi_pp_PI1,delta_pi_pp_ci_low_PI1,delta_pi_pp_ci_high_PI1,delta_pi_pp_PI2,delta_pi_pp_ci_low_PI2,delta_pi_pp_ci_high_PI2,pproj_bounded_PI0,pproj_bounded_beta_low_PI0,pproj_bounded_beta_high_PI0,pproj_bounded_ci_low_PI0,pproj_bounded_ci_high_PI0,pproj_bounded_PI1,pproj_bounded_beta_low_PI1,pproj_bounded_beta_high_PI1,pproj_bounded_ci_low_PI1,pproj_bounded_ci_high_PI1,pproj_bounded_PI2,pproj_bounded_beta_low_PI2,pproj_bounded_beta_high_PI2,pproj_bounded_ci_low_PI2,pproj_bounded_ci_high_PI2,PI2050_pct_PI0,PI2050_pct_PI1,PI2050_pct_PI2,pi_reduction_pp_PI0,pi_reduction_pp_ci_low_PI0,pi_reduction_pp_ci_high_PI0,pi_reduction_pp_PI1,pi_reduction_pp_ci_low_PI1,pi_reduction_pp_ci_high_PI1,pi_reduction_pp_PI2,pi_reduction_pp_ci_low_PI2,pi_reduction_pp_ci_high_PI2,pproj_lin_PI0,pproj_lin_clamped_PI0,pproj_lin_PI1,pproj_lin_clamped_PI1,pproj_lin_PI2,pproj_lin_clamped_PI2,inadmissible_naive_linear_PI0,inadmissible_naive_linear_PI1,inadmissible_naive_linear_PI2,pi0_prop,pi_proj_prop,pi_proj_prop_naive_linear,paf_2020,paf_2050,delta_paf,paf0_formula,paf_proj,paf_2050_naive_linear,delta_paf_naive_linear,deathtotal_2022,deathtotal_2050,employment,gdp_ppp,pop_est,gdp_total,delta_deaths_2050,avoidable_deaths_2050,avoidable_deaths_2050_ci_low,avoidable_deaths_2050_ci_high,delta_deaths_2050_naive_linear,avoidable_deaths_2050_naive_linear,net_deaths_benefit,avoidable_deaths,deaths_per_100k,delta_costs_2050,saved_costs_2050,saved_costs_2050_ci_low,saved_costs_2050_ci_high,delta_costs_2050_naive_linear,saved_costs_2050_naive_linear,net_saved_costs,saved_costs,costs_per_capita,costs_share_gdp,costs_share_gdp_naive_linear,prevalence_below_zero,prevalence_above_one,inadmissible_naive_linear,prevalence_below_zero_PI0,prevalence_below_zero_PI1,prevalence_below_zero_PI2,prevalence_above_one_PI0,prevalence_above_one_PI1,prevalence_above_one_PI2,invalid_pm,invalid_pm_naive_hist,valid_for_burden,baseline_window,present_window,future_window,country_weight_basis,pi_change_display,dpi_pp,dpi_pp_ci_low,dpi_pp_ci_high
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,country,CHN,China,9,CHN,China,East Asia & Pacific,3. Upper middle income,Middle income,CHN,"China, Hong Kong and Macao",34.29999923706055,13.762798090146951,-20.537201146913596,34.29999923706055,13.762798090146951,0.4012477666552392,48.439988127171574,43.695136132039025,17.532575786677306,-30.907412340494272,-26.16256034536172,-9.581097972917842,-10.66271254139253,-23.58245465783728,-0.2358245465783728,-34.471354874838134,-12.693554440836422,15.787800374548834,15.787800374548834,10.307469325311857,19.06698470359003,23.290000915527344,7.50220054097851,0.23290000915527345,0.0750220054097851,4.223016211937314,12.982531590215489,0.04223016211937314,0.12982531590215488,0,0,23.290000915527344,0.23290000915527345,27.059999465942383,0.2705999946594238,19.31999969482422,0.1931999969482422,-23.58245465783728,-34.471354874838134,-12.693554440836422,-16.64213723260694,-25.97122013634786,-7.313054328866029,-30.094736531127506,-43.040701932109094,-17.148771130145917,0.0750220054097851,0.12982531590215488,0.04223016211937314,0.04223016211937314,0.12982531590215488,0.1376732209204695,0.2039000000263593,0.09051131949033069,0.09051131949033069,0.2039000000263593,0.03356720878774785,0.07381442751335554,0.01491142617642483,0.01491142617642483,0.07381442751335554,7.50220054097851,13.76732209204695,3.3567208787747855,15.787800374548834,10.307469325311857,19.06698470359003,13.292677373895431,6.66999946330645,18.008867516909312,15.963278816049431,11.938556943488663,17.828857077181738,-0.00292453742309936,0,0.1041786223333544,0.1041786223333544,-0.10774736836303288,0,TRUE,FALSE,TRUE,0.23290000915527345,0.0750220054097851,0,0.06121974067748128,0.02057398114383129,-0.04064575953364999,0.06121974067748128,0.02057398114383129,0,-0.06121974067748128,10880026.0078125,17489243.03149414,0.673929,41490.23,1379302771,38567331967646.23,-710863.5666836746,710863.5666836746,457233.5986816554,866303.0497838233,-1070686.9230335178,1070686.9230335178,710863.5666836746,710863.5666836746,51.53789158041753,-4969197433.736305,4969197433.736305,3196230798.248163,6055776514.059702,-7484494858.970193,7484494858.970193,4969197433.736305,4969197433.736305,3.6026879219082675,0.01288447289510438,0.01940630704049962,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1995-2014,2015-2024,2040-2059,LandScan2010_point_weight,15.787800374548834,15.787800374548834,NA,NA
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,country,JPN,Japan,175,JPN,Japan,East Asia & Pacific,1. High income: OECD,High income,JPN,Japan,17,9.82375887451813,-7.176241125481869,17,9.82375887451813,0.5778681690893018,11.435189568490896,9.544007390274256,5.515178076392551,-5.920011492098346,-4.028829313881704,-5.753944842098757,-7.650719630414561,-14.162483644989461,-0.1416248364498946,-20.701831370776187,-7.623135919202733,13.268705880044596,13.268705880044596,7.4052651156356735,18.537624063089535,43.119998931884766,29.851293051840173,0.4311999893188477,0.2985129305184017,24.58237486879523,35.714733816249094,0.24582374868795231,0.35714733816249095,28.95751528689531,0.2895751528689531,43.119998931884766,0.4311999893188477,38.43000030517578,0.3843000030517578,47.790000915527344,0.4779000091552734,-14.162483644989461,-20.701831370776187,-7.623135919202733,-9.994464096049333,-15.59706085554622,-4.3918673365524405,-18.073445708108824,-25.8481674629143,-10.298723953303352,0.2985129305184017,0.35714733816249095,0.24582374868795231,0.24582374868795231,0.35714733816249095,0.2903401729697894,0.34142511339726883,0.24406605076148713,0.24406605076148713,0.34142511339726883,0.30729190808017076,0.37725566789394943,0.24519452916235465,0.24519452916235465,0.37725566789394943,29.851293051840173,29.03401729697894,30.729190808017076,13.268705880044596,7.4052651156356735,18.537624063089535,9.39598300819684,4.287488965448899,14.02339522902707,17.060810107510267,10.0644341261324,23.27054799929188,0.2895751528689531,0.2895751528689531,0.2843553620912645,0.2843553620912645,0.29716555207418516,0.29716555207418516,FALSE,FALSE,FALSE,0.4311999893188477,0.2985129305184017,0.2895751528689531,0.1077292041403734,0.07713629013984305,-0.03059291400053035,0.1077292041403734,0.07713629013984305,0.07499996724857828,-0.03272923689179512,1612680.001937866,1517155.0078125,0.55879,83816.258,126451398,5922438073138.996,-46414.19267948177,46414.19267948177,25517.145838818073,65740.02069745232,-49655.325652268584,49655.325652268584,46414.19267948177,46414.19267948177,36.70516373372303,-543460147.943505,543460147.943505,298778262.68408763,769744755.0313704,-581410320.1474905,581410320.1474905,543460147.943505,543460147.943505,4.297778882156012,0.00917629093343075,0.00981707724027467,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1995-2014,2015-2024,2040-2059,LandScan2010_point_weight,13.268705880044596,13.268705880044596,NA,NA
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,country,IDN,Indonesia,1,IDN,Indonesia,East Asia & Pacific,4. Lower middle income,Middle income,IDN,Indonesia and East Timor,19.700000762939453,12.929029169043764,-6.770971593895689,19.700000762939453,12.929029169043764,0.6562958714888198,22.78902274508965,23.272551913379164,15.27367973975998,-7.515343005329672,-7.998872173619185,-4.418663032345975,-4.19837517589029,-10.875885091990831,-0.1087588509199083,-15.897687497912052,-5.854082686069611,8.554067958340767,8.554067958340767,5.155787340390303,11.156044309806177,18.440000534057617,9.885932575716852,0.18440000534057616,0.09885932575716852,7.28395622425144,13.284213193667316,0.07283956224251441,0.13284213193667316,7.564115442066788,0.07564115442066788,18.440000534057617,0.18440000534057616,20.56999969482422,0.20569999694824215,16.239999771118164,0.16239999771118163,-10.875885091990831,-15.897687497912052,-5.854082686069611,-7.675111639272183,-11.977548987159672,-3.372674291384695,-13.879254773739422,-19.849745723424014,-7.908763824054828,0.09885932575716852,0.13284213193667316,0.07283956224251441,0.07283956224251441,0.13284213193667316,0.13933893447189838,0.17401081297904522,0.11065001670347238,0.11065001670347238,0.17401081297904522,0.0653255635228451,0.09780166057321649,0.04311811130161271,0.04311811130161271,0.09780166057321649,9.885932575716852,13.933893447189838,6.5325563522845105,8.554067958340767,5.155787340390303,11.156044309806177,6.6361062476343795,3.1689183969196955,9.50499802447698,9.707443418833654,6.459833713796516,11.928188640956892,0.07564115442066788,0.07564115442066788,0.12894888055552034,0.12894888055552034,0.02360744997378741,0.02360744997378741,FALSE,FALSE,FALSE,0.18440000534057616,0.09885932575716852,0.07564115442066788,0.04909702388472731,0.02693503303459402,-0.02216199085013329,0.04909702388472731,0.02693503303459402,0.02074025453490732,-0.02835676934981998,1970004.998046875,3327734.999511719,0.634342,27580.803,260580739,4559032464624.025,-73749.23261084703,73749.23261084703,44043.03312599621,96869.00706880548,-94363.81383847714,94363.81383847714,73749.23261084703,73749.23261084703,28.301874073220365,-322572906.7737817,322572906.7737817,192640502.3568608,423696845.1096633,-412739341.77398586,412739341.77398586,322572906.7737817,322572906.7737817,1.2379000382441225,0.00707546851830509,0.00905322225662246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1995-2014,2015-2024,2040-2059,LandScan2010_point_weight,8.554067958340767,8.554067958340767,NA,NA
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,country,THA,Thailand,107,THA,Thailand,East Asia & Pacific,3. Upper middle income,Middle income,THA,Thailand,27.399999618530273,17.27764807227592,-10.122351546254354,27.399999618530273,17.27764807227592,0.6305711063072886,28.2135321599712,27.82751324443802,17.54722581232601,-10.666306347645188,-10.280287432112017,-4.838196226619673,-4.982740181634103,-11.908503958782786,-0.11908503958782786,-17.40710506805499,-6.409902849510585,10.222051042764186,10.222051042764186,5.9270751733806915,13.806662423162432,27.399999618530273,17.177948575766088,0.27399999618530274,0.1717794857576609,13.59333719536784,21.472924445149584,0.1359333719536784,0.21472924445149583,15.491495659747487,0.1549149565974749,27.399999618530273,0.27399999618530274,26.6299991607666,0.26629999160766604,28.040000915527344,0.2804000091552734,-11.908503958782786,-17.40710506805499,-6.409902849510585,-8.403830728928934,-13.11476613844919,-3.692895319408679,-15.197030772212404,-21.73439435309049,-8.659667191334318,0.1717794857576609,0.21472924445149583,0.1359333719536784,0.1359333719536784,0.21472924445149583,0.19098929383651295,0.23103370526790937,0.15647331851400564,0.15647331851400564,0.23103370526790937,0.15503525905621446,0.20235324274193717,0.11715687040807636,0.11715687040807636,0.20235324274193717,17.177948575766088,19.098929383651296,15.503525905621446,10.222051042764186,5.9270751733806915,13.806662423162432,7.531069777115309,3.5266286339756703,10.98266730936604,12.536475009905896,7.804676641333624,16.324313874719707,0.1549149565974749,0.1549149565974749,0.1822616843183767,0.1822616843183767,0.12842970143314936,0.12842970143314936,FALSE,FALSE,FALSE,0.27399999618530274,0.1717794857576609,0.1549149565974749,0.07125343544096112,0.04589097991170372,-0.02536245552925739,0.07125343544096112,0.04589097991170372,0.04157291334852799,-0.02968052209243312,652995,913846.9997558594,0.707293,36892.934,68414135,1785206235689.0137,-23177.403891853275,23177.403891853275,13286.556348009904,31607.81170520978,-27123.456065357514,27123.456065357514,23177.403891853275,23177.403891853275,33.87809243200002,-151198454.65713802,151198454.65713802,86675228.89568336,206194460.22603625,-176940638.44157803,176940638.44157803,151198454.65713802,151198454.65713802,2.2100470123189897,0.008469523108,0.00991149565267379,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1995-2014,2015-2024,2040-2059,LandScan2010_point_weight,10.222051042764186,10.222051042764186,NA,NA
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,country,VNM,Viet Nam,54,VNM,Viet Nam,East Asia & Pacific,4. Lower middle income,Middle income,VNM,Vietnam,27,16.84417645379132,-10.15582354620868,27,16.84417645379132,0.6238583871774563,24.891547441662823,23.9348581733335,14.931962017336994,-9.959585424325835,-9.002896155996503,-4.950487775417789,-5.361696613896787,-12.184892987000127,-0.12184892987000127,-17.811113234864937,-6.558672739135317,10.541362585206636,10.541362585206636,6.091651221750707,14.279822643302614,28.729999542236328,18.188636957029697,0.2872999954223633,0.18188636957029697,14.450176898933714,22.638348320485623,0.14450176898933714,0.2263834832048562,16.5451065552362,0.165451065552362,28.729999542236328,0.2872999954223633,24.329999923706055,0.24329999923706055,32.630001068115234,0.32630001068115233,-12.184892987000127,-17.811113234864937,-6.558672739135317,-8.598878454194091,-13.419151767479468,-3.7786051409087142,-15.549744478439372,-22.23883623386198,-8.860652723016765,0.18188636957029697,0.2263834832048562,0.14450176898933714,0.14450176898933714,0.2263834832048562,0.16773924065361925,0.20752430696816832,0.13428899538281883,0.13428899538281883,0.20752430696816832,0.19273648782400585,0.2445231500424416,0.1497436158166557,0.1497436158166557,0.2445231500424416,18.188636957029697,16.773924065361925,19.27364878240058,10.541362585206636,6.091651221750707,14.279822643302614,7.55607585834413,3.577569226889224,10.901100385424172,13.356352285714651,8.177686063871073,17.65563948644966,0.165451065552362,0.165451065552362,0.15731121469511966,0.15731121469511966,0.1708025658967586,0.1708025658967586,FALSE,FALSE,FALSE,0.2872999954223633,0.18188636957029697,0.165451065552362,0.07445457498370393,0.04846019383651605,-0.02599438114718788,0.07445457498370393,0.04846019383651605,0.04427519257377842,-0.03017938240992551,605354.9996337891,1120660,0.7581140000000001,23264.775,96160163,1696010608047.4126,-29130.863176407573,29130.863176407573,16636.92927514581,39859.04221814619,-33820.82669150713,33820.82669150713,29130.863176407573,29130.863176407573,30.294107526011132,-128447819.3136096,128447819.3136096,73357842.93538958,175751985.85246164,-149127453.23063037,149127453.23063037,128447819.3136096,128447819.3136096,1.335769567212668,0.00757352688150278,0.00879283729258735,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1995-2014,2015-2024,2040-2059,LandScan2010_point_weight,10.541362585206636,10.541362585206636,NA,NA
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,country,MYS,Malaysia,2,MYS,Malaysia,East Asia & Pacific,3. Upper middle income,Middle income,MYS,"Malaysia, Singapore and Brunei",13.300000190734863,11.12720723672388,-2.1727929540109834,13.300000190734863,11.12720723672388,0.8366321110638323,16.057075896818226,16.716808179014944,13.98581851705841,-2.0712573797598166,-2.730989661956535,-1.871477299286201,-1.4490137926290123,-4.60636439355269,-0.0460636439355269,-6.733294900673227,-2.4794338864321532,4.506617626660464,4.506617626660464,2.4520876282876527,6.5092638235254014,40.060001373291016,35.55338374663055,0.40060001373291015,0.3555338374663055,33.550737549765614,37.607913745003366,0.33550737549765614,0.3760791374500336,35.45363697973832,0.35453636979738323,40.060001373291016,0.40060001373291015,37.310001373291016,0.3731000137329102,42.84000015258789,0.4284000015258789,-4.60636439355269,-6.733294900673227,-2.4794338864321532,-3.250711153404948,-5.072962311556197,-1.4284599952537,-5.87840938535482,-8.407146742363931,-3.3496720283457075,0.3555338374663055,0.3760791374500336,0.33550737549765614,0.33550737549765614,0.3760791374500336,0.34120671377894146,0.3589296394520689,0.32391672590428855,0.32391672590428855,0.3589296394520689,0.3708805300545128,0.3952793056586032,0.3471232869235591,0.3471232869235591,0.3952793056586032,35.55338374663055,34.12067137789415,37.088053005451286,4.506617626660464,2.4520876282876527,6.5092638235254014,3.189329995396867,1.4170374280841225,4.918328782862158,5.75194714713661,3.312069586727573,8.127671460231984,0.35453636979738323,0.35453636979738323,0.3405929021988606,0.3405929021988606,0.3696159076723307,0.3696159076723307,FALSE,FALSE,FALSE,0.40060001373291015,0.3555338374663055,0.35453636979738323,0.10085526957924044,0.09053660321804805,-0.0103186663611924,0.10085526957924044,0.09053660321804805,0.09030553637258736,-0.01054973320665306,187856,347874.0000152588,0.5788409999999999,65888.102,31381992,1196869471945.98,-3589.595741890895,3589.595741890895,1942.963193728208,5211.312985948588,-3669.977889692203,3669.977889692203,3589.595741890895,3589.595741890895,11.438393528017262,-34225660.05447083,34225660.05447083,18525539.51712143,49688221.04757972,-34992078.40988335,34992078.40988335,34225660.05447083,34225660.05447083,1.0906146446812819,0.0028595983820043102,0.00292363363174348,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1995-2014,2015-2024,2040-2059,LandScan2010_point_weight,4.506617626660464,4.506617626660464,NA,NA
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,country,MMR,Myanmar,123,MMR,Myanmar,East Asia & Pacific,5. Low income,Low income,RSEA,"Cambodia, Laos and Myanmar",36.70000076293945,27.376846428747584,-9.32315433419187,36.70000076293945,27.376846428747584,0.7459631024420409,19.025592011991293,19.214735982458553,14.3334840660795,-4.692107945911793,-4.881251916379054,-3.0750035425045623,-2.9712112412169236,-7.56866611935069,-0.0756866611935069,-11.063401987400606,-4.073930251300774,6.63115679721416,6.63115679721416,3.800143045676585,9.086486637110005,21.81999969482422,15.188842897610058,0.2181999969482422,0.15188842897610058,12.733513057714216,18.01985664914763,0.12733513057714216,0.1801985664914763,14.251333575473527,0.1425133357547353,21.81999969482422,0.2181999969482422,19.84000015258789,0.19840000152587892,23.549999237060547,0.23549999237060548,-7.56866611935069,-11.063401987400606,-4.073930251300774,-5.341207353245405,-8.335327970570194,-2.3470867359206156,-9.658749102194582,-13.813689337821504,-5.503808866567661,0.15188842897610058,0.1801985664914763,0.12733513057714216,0.12733513057714216,0.1801985664914763,0.15031016813044834,0.1759682772263374,0.12781300213571006,0.12781300213571006,0.1759682772263374,0.15264692762010706,0.1849429349150637,0.1251248752645554,0.1251248752645554,0.1849429349150637,15.188842897610058,15.031016813044834,15.264692762010707,6.63115679721416,3.800143045676585,9.086486637110005,4.808983339543057,2.243172429954152,7.058699939016885,8.285306475049842,5.055705745554179,11.037511710605008,0.1425133357547353,0.1425133357547353,0.14498792799342486,0.14498792799342486,0.13891250134865968,0.13891250134865968,FALSE,FALSE,FALSE,0.2181999969482422,0.15188842897610058,0.1425133357547353,0.05757820140185991,0.04079384832384469,-0.01678435307801521,0.05757820140185991,0.04079384832384469,0.03837252690439063,-0.01920567449746927,447262.999786377,678753.9999389648,0.756104,13294.553,55123814,554108144922.113,-11392.446788090703,11392.446788090703,6479.4478812988355,15714.37562971921,-13035.928386683036,13035.928386683036,11392.446788090703,11392.446788090703,20.667014782559683,-28629403.05560508,28629403.05560508,16282957.333222684,39490480.14345022,-32759498.896803707,32759498.896803707,28629403.05560508,28629403.05560508,0.5193654244534872,0.00516675369563991,0.00591211286046128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1995-2014,2015-2024,2040-2059,LandScan2010_point_weight,6.63115679721416,6.63115679721416,NA,NA
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,country,PHL,Philippines,169,PHL,Philippines,East Asia & Pacific,4. Lower middle income,Middle income,PHL,Philippines,13.800000190734863,12.967383045061084,-0.8326171456737779,13.800000190734863,12.967383045061084,0.939665425060444,12.44423198193265,12.230437273523098,11.49251903930018,-0.9517129426324684,-0.7379182342229185,-0.6529354785712216,-0.8347577953103146,-1.6071040460522334,-0.01607104046052233,-2.3491640160471463,-0.8650440760573208,1.5980455222319778,1.5980455222319778,0.8624902749137353,2.3292934867080897,41.959999084472656,40.36195356224068,0.41959999084472654,0.4036195356224068,39.63070559776457,41.09750880955892,0.3963070559776457,0.4109750880955892,40.35289503842042,0.4035289503842042,41.959999084472656,0.41959999084472654,32.95000076293945,0.3295000076293945,50.83000183105469,0.5083000183105468,-1.6071040460522334,-2.3491640160471463,-0.8650440760573208,-1.1341332558267263,-1.769894337448317,-0.4983721742051358,-2.0509049437725713,-2.9331503960734975,-1.168659491471645,0.4036195356224068,0.4109750880955892,0.3963070559776457,0.3963070559776457,0.4109750880955892,0.31825952620228815,0.3245355901962289,0.3120487622634174,0.3120487622634174,0.3245355901962289,0.4877885071790462,0.4966110165486678,0.478973599807459,0.478973599807459,0.4966110165486678,40.36195356224068,31.825952620228815,48.77885071790462,1.5980455222319778,0.8624902749137353,2.3292934867080897,1.1240481427106377,0.4964417433165613,1.7451245365977142,2.0511511131500626,1.1689001761879037,2.9326418503087757,0.4035289503842042,0.4035289503842042,0.3181586750711273,0.3181586750711273,0.48779096887282114,0.48779096887282114,FALSE,FALSE,FALSE,0.41959999084472654,0.4036195356224068,0.4035289503842042,0.10513580253750966,0.10153827695983415,-0.00359752557767549,0.10513580253750966,0.10153827695983415,0.10151780193117012,-0.00361800060633953,650385.00048828125,1227206.996582031,0.601787,22362.271,104256076,1403007791435.8691,-4414.90855930618,4414.90855930618,2378.3944562103115,6446.981745986243,-4440.0356577379025,4440.0356577379025,4414.90855930618,4414.90855930618,4.234677467916767,-14853213.704262856,14853213.704262856,8001706.1863400275,21689780.509443697,-14937749.580320291,14937749.580320291,14853213.704262856,14853213.704262856,0.1424685665731641,0.00105866936697919,0.00106469469888208,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1995-2014,2015-2024,2040-2059,LandScan2010_point_weight,1.5980455222319778,1.5980455222319778,NA,NA
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,country,KHM,Cambodia,55,KHM,Cambodia,East Asia & Pacific,5. Low income,Low income,RSEA,"Cambodia, Laos and Myanmar",26.700000762939453,21.058466714764652,-5.641534048174801,26.700000762939453,21.058466714764652,0.7887065959936057,17.923368417837303,17.840196052119573,14.070680300125792,-3.852688117711508,-3.7695157519937776,-2.4904044455626884,-2.539205560800893,-6.129761962894615,-0.06129761962894615,-8.96010203293243,-3.2994218928567993,5.021855636063758,5.021855636063758,2.9647780589272035,6.695459349918057,13.199999809265137,8.17814417320138,0.13199999809265137,0.0817814417320138,6.50454045934708,10.235221750337931,0.0650454045934708,0.10235221750337932,7.070237846370523,0.07070237846370522,13.199999809265137,0.13199999809265137,12.520000457763672,0.12520000457763672,13.65999984741211,0.1365999984741211,-6.129761962894615,-8.96010203293243,-3.2994218928567993,-4.325772752235697,-6.75067119312115,-1.900874311350244,-7.822492354948019,-11.187523155993745,-4.457461553902294,0.0817814417320138,0.10235221750337932,0.0650454045934708,0.0650454045934708,0.10235221750337932,0.08794084429400519,0.10739418313309929,0.07172811190088198,0.07172811190088198,0.10739418313309929,0.07536340256106504,0.09781312592585674,0.05773651492632799,0.05773651492632799,0.09781312592585674,8.17814417320138,8.794084429400518,7.536340256106504,5.021855636063758,2.9647780589272035,6.695459349918057,3.7259160283631534,1.7805821444537435,5.347189267675474,6.123659591305606,3.8786872548264366,7.88634835477931,0.07070237846370522,0.07070237846370522,0.08194227705527976,0.08194227705527976,0.05837507492464092,0.05837507492464092,FALSE,FALSE,FALSE,0.13199999809265137,0.0817814417320138,0.07070237846370522,0.03564264724288074,0.02238618678844043,-0.0132564604544403,0.03564264724288074,0.02238618678844043,0.0194123658474708,-0.01623028139540993,96192,177283.9997253418,0.8183710000000001,11632.438,16204486,154261033829.202,-2350.1583315639996,2350.1583315639996,1379.7057892616417,3147.8021752752675,-2877.369202446075,2877.369202446075,2350.1583315639996,2350.1583315639996,14.503134080056594,-5593171.142382657,5593171.142382657,3283579.026073952,7491493.680326757,-6847886.87338861,6847886.87338861,5593171.142382657,5593171.142382657,0.3451618979079409,0.00362578352001414,0.00443915530928607,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1995-2014,2015-2024,2040-2059,LandScan2010_point_weight,5.021855636063758,5.021855636063758,NA,NA
GFDL-ESM4,r1i1p1f1,RCP26,SSP1-2.6,country,MNG,Mongolia,45,MNG,Mongolia,East Asia & Pacific,4. Lower middle income,Middle income,MON,Mongolia and North Korea,21.5,15.432200578738138,-6.067799421261862,21.5,15.432200578738138,0.7177767711040994,3.954517350522992,3.5969199938299865,2.581785619091065,-1.3727317314319265,-1.0151343747389212,-3.4791316385093434,-4.473575639209899,-8.56336761670825,-0.0856336761670825,-12.517394322271905,-4.609340911144597,7.565295236278688,7.565295236278688,4.321091431797483,10.392873183025152,24.950000762939453,17.384705526660767,0.24950000762939453,0.17384705526660765,14.5571275799143,20.62890933114197,0.145571275799143,0.2062890933114197,16.3866331462312,0.16386633146231205,24.950000762939453,0.24950000762939453,23.530000686645508,0.23530000686645508,26.1299991607666,0.26129999160766604,-8.56336761670825,-12.517394322271905,-4.609340911144597,-6.043168156931405,-9.430786943465648,-2.6555493703971633,-10.928136870534688,-15.629134391373688,-6.227139349695689,0.17384705526660765,0.2062890933114197,0.145571275799143,0.145571275799143,0.2062890933114197,0.180276229054589,0.20978746867822315,0.15410679181025558,0.15410679181025558,0.20978746867822315,0.16723074552564807,0.20394219986132023,0.13599870746669923,0.13599870746669923,0.20394219986132023,17.384705526660767,18.0276229054589,16.723074552564807,7.565295236278688,4.321091431797483,10.392873183025152,5.502377781186607,2.5512538188231932,8.11932150561995,9.406924608201797,5.735779174634581,12.53012841409668,0.16386633146231205,0.16386633146231205,0.17486832529714105,0.17486832529714105,0.15201862290231916,0.15201862290231916,FALSE,FALSE,FALSE,0.24950000762939453,0.17384705526660765,0.16386633146231205,0.06529826519052803,0.04641769327402208,-0.01888057191650594,0.06529826519052803,0.04641769327402208,0.04386971731080451,-0.02142854787972352,18974,33391.00005340576,0.613806,39449.676,3068243,74295810043.61612,-630.4411778723813,630.4411778723813,356.9985349949457,872.660984544426,-715.5206433962561,715.5206433962561,630.4411778723813,630.4411778723813,20.547302735551952,-3816446.252373105,3816446.252373105,2161130.5999747845,5282750.970195948,-4331484.32213927,4331484.32213927,3816446.252373105,3816446.252373105,1.2438539751815958,0.00513682568388798,0.00583005194989653,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1995-2014,2015-2024,2040-2059,LandScan2010_point_weight,7.565295236278688,7.565295236278688,NA,NA
